GrossProfit,IncomeAfterTaxes,Revenue,ticker,qend,avail_date
21824311000.0,2884843000.0,63049749000.0,2912.TW,2020-03-31,2020-05-15
20744899000.0,2705633000.0,61492529000.0,2912.TW,2020-06-30,2020-08-14
23255335000.0,3179827000.0,67803926000.0,2912.TW,2020-09-30,2020-11-14
22255965000.0,2569955000.0,66148703000.0,2912.TW,2020-12-31,2021-03-31
22181239000.0,2971817000.0,65053203000.0,2912.TW,2021-03-31,2021-05-15
21130961000.0,1947463000.0,63593394000.0,2912.TW,2021-06-30,2021-08-14
21629653000.0,2342933000.0,65444164000.0,2912.TW,2021-09-30,2021-11-14
23181787000.0,2756323000.0,68644703000.0,2912.TW,2021-12-31,2022-03-31
22899806000.0,2557472000.0,67667170000.0,2912.TW,2022-03-31,2022-05-15
23558617000.0,2907462000.0,71130619000.0,2912.TW,2022-06-30,2022-08-14
25541948000.0,3137572000.0,75846879000.0,2912.TW,2022-09-30,2022-11-14
25854153000.0,2467417000.0,75789469000.0,2912.TW,2022-12-31,2023-03-31
25840410000.0,3254326000.0,75474209000.0,2912.TW,2023-03-31,2023-05-15
26128765000.0,3103869000.0,77586335000.0,2912.TW,2023-06-30,2023-08-14
28373978000.0,3492899000.0,82531464000.0,2912.TW,2023-09-30,2023-11-14
27829073000.0,2810037000.0,81449846000.0,2912.TW,2023-12-31,2024-03-31
27480385000.0,3437516000.0,81070782000.0,2912.TW,2024-03-31,2024-05-15
28388633000.0,3950361000.0,82841047000.0,2912.TW,2024-06-30,2024-08-14
29933887000.0,3494673000.0,87881001000.0,2912.TW,2024-09-30,2024-11-14
29624845000.0,2858889000.0,86139567000.0,2912.TW,2024-12-31,2025-03-31
28735324000.0,3402437000.0,84641319000.0,2912.TW,2025-03-31,2025-05-15
30080768000.0,3666376000.0,87379698000.0,2912.TW,2025-06-30,2025-08-14
31132946000.0,3381092000.0,88929011000.0,2912.TW,2025-09-30,2025-11-14
30592278000.0,2884377000.0,89784563000.0,2912.TW,2025-12-31,2026-03-31
30610284000.0,3570819000.0,88527614000.0,2912.TW,2026-03-31,2026-05-15
21546759000.0,,,2412.TW,2005-03-31,2005-05-15
22335723000.0,,,2412.TW,2005-06-30,2005-08-14
24702923000.0,,,2412.TW,2005-09-30,2005-11-14
20854955000.0,,,2412.TW,2005-12-31,2006-03-31
