Date,SPY,EFA,AGG
2012-10-25,3263.221570173264,1038.5488520417348,2247.065641509209
2012-10-26,3256.918389956845,1035.5839331078823,2250.0181958752364
2012-10-31,3252.460022113635,1033.395044224395,2250.14842822653
2012-11-01,3289.893814121373,1046.620394670812,2249.5046571245184
2012-11-02,3260.638798406231,1036.5810174677754,2250.913098242483
2012-11-05,3263.963984331116,1033.0090112003381,2252.418988095247
2012-11-06,3294.0143151410302,1044.2751172908538,2249.06717264319
2012-11-07,3219.359437287203,1028.6309411753246,2254.2991380048625
2012-11-08,3166.499737602513,1014.8255797402526,2247.076450385386
2012-11-09,3171.4327596719377,1015.9078618386411,2247.4165517146466
2012-11-12,3157.6012417298625,1009.9073868965206,2235.2379090726026
2012-11-13,3149.899100344541,1005.9717035597278,2241.5472486904764
2012-11-14,3105.235946907662,994.7464549610813,2240.5997592103085
2012-11-15,3103.1920471191406,999.0350875854492,2240.722816467285
2012-11-16,3124.9660404400056,1000.5258135217591,2246.1600141100207
2012-11-19,3194.794144807791,1024.3409963182057,2252.401139132562
2012-11-20,3198.366155237658,1026.5851576358546,2249.7325857823016
2012-11-21,3199.944136796461,1026.9072919040336,2242.8373714727204
2012-11-23,3243.5430738303985,1049.0264625736309,2244.240730713529
2012-11-26,3236.658598795082,1046.5257922985402,2245.041318187403
2012-11-27,3215.7093651883624,1039.9013235097955,2244.9594533715863
2012-11-28,3244.9507664564007,1048.4735429447028,2247.6767956186377
2012-11-29,3262.331996883615,1058.2375365314074,2252.029395897058
2012-11-30,3257.4157145195495,1057.7647361148556,2246.9597228050407
2012-12-03,3240.2584399866173,1058.7446115908824,2246.5091901149717
2012-12-04,3234.5647314908565,1061.0672676435497,2247.1439935739036
2012-12-05,3242.5221100569324,1063.3345397844678,2250.7061817815993
2012-12-06,3253.5207097083185,1065.447438000032,2250.505534049691
2012-12-07,3262.2509507768264,1065.4648840508016,2247.7166516311117
2012-12-10,3261.3783418354724,1065.8825477561404,2246.5717139809713
2012-12-11,3289.239918433377,1073.8689403588796,2249.6361333190725
2012-12-12,3287.449174373469,1076.2175637839682,2241.073175319383
2012-12-13,3263.917568575125,1071.8452326666447,2235.140042886662
2012-12-14,3254.0287903320277,1076.4228726808797,2240.7057505730772
2012-12-17,3291.1390094247763,1080.4654321266426,2234.501646022749
2012-12-18,3327.7647122716735,1091.7160191694857,2229.27180741333
2012-12-19,3301.903365835693,1095.2185191681492,2232.3246564897127
2012-12-20,3322.0407488184137,1102.9668276936573,2233.2961231518275
2012-12-21,3290.7529655743565,1095.799928784254,2234.536492767278
2012-12-24,3281.742664063975,1093.2680495788154,2235.506728291395
2012-12-26,3267.9107121376874,1093.0743641570589,2238.532163238444
2012-12-27,3262.405593606207,1097.7391047639394,2238.967693093524
2012-12-28,3228.257581011785,1086.4786501948984,2243.16754596222
2012-12-31,3281.994846692309,1102.5868786593783,2238.3656928093696
2013-01-02,3368.433614495443,1120.422776716965,2237.284679298231
2013-01-03,3355.0359943243093,1107.6461565686332,2227.7962853591016
2013-01-04,3366.2843808846083,1112.1116231674387,2227.90599524189
2013-01-07,3364.0386956427246,1109.5676686407096,2231.3119498697342
2013-01-08,3349.737901799963,1101.8417058468185,2230.2485586739203
2013-01-09,3361.728988467803,1108.6041047778053,2230.9456416097964
2013-01-10,3383.7813233011984,1121.2065182250226,2227.6683341170283
2013-01-11,3381.2150652275013,1122.7541025409882,2228.3410083557537
2013-01-14,3375.4138098690455,1122.9430258811408,2228.039636920279
2013-01-15,3380.047088589854,1121.979215346073,2230.18570003027
2013-01-16,3380.7556535943004,1116.9503863006976,2232.161413653579
2013-01-17,3403.769188049191,1126.4313254735316,2228.1066153527354
2013-01-18,3411.3613777505816,1125.2706895238953,2230.7210842642235
2013-01-22,3428.5755454490136,1125.4620911606326,2228.744539631647
2013-01-23,3438.8369818218634,1125.8550357049608,2234.240031188354
2013-01-24,3439.7579592926195,1131.2789383263225,2231.219649742474
2013-01-25,3469.835565847752,1147.0325224728367,2232.694468629634
2013-01-28,3478.78966737687,1145.7154268838422,2237.8970715840114
2013-01-29,3530.7538223982265,1166.162613796434,2260.9959601481532
2013-01-30,3508.584028491372,1164.576944954184,2254.6118768373854
2013-01-31,3508.25523900229,1163.0075662789823,2262.0201376310724
2013-02-01,3545.5456989013182,1172.6728517416486,2257.878243020503
2013-02-04,3514.004860344925,1154.2972776427778,2269.6154552005173
2013-02-05,3547.089671644382,1158.8519698516466,2263.3478136315825
2013-02-06,3543.6700689894205,1156.6952010422247,2263.424053653376
2013-02-07,3547.3744303717394,1149.9474537067726,2269.6154552005173
2013-02-08,3568.319430752308,1157.6543392600797,2270.999913300693
2013-02-11,3582.0759746744443,1161.1558291909314,2277.9309687944333
2013-02-12,3587.976575429231,1166.9148273183746,2277.517838310814
2013-02-13,3586.2107149747317,1168.1210471671075,2272.180058153055
2013-02-14,3588.3018789627386,1161.3832719149286,2275.543589530571
2013-02-15,3575.6056124868337,1155.6764064953313,2270.3824938591424
2013-02-19,3606.054223195577,1170.508621097877,2270.0028564660606
2013-02-20,3545.485336303711,1153.9403762817383,2261.480010986328
2013-02-21,3531.1003900003416,1138.905472282393,2267.314339224642
2013-02-22,3578.8776608751505,1159.5989566103526,2276.9882454485924
2013-02-25,3501.3163688396744,1128.7910505901673,2279.4948923547345
